video_id,title,published_at,views,likes,comments,engajamento,engajamento_por_1000_views,short_score
kQhI1DIzjvo,EXCLUSIVO: CENTRÃO VAI DE FLÁVIO BOLSONARO,2025-12-17T00:20:23Z,10697,2378,97,2475,231.37328222866225,185.1093227829298
U2DbjWXAVpg,"FRANCAMENTE, TARCÍSIO?!",2025-12-15T23:30:50Z,15222,2510,190,2700,177.37485218762316,141.91510375009852
Evp5P0za3Hw,A POLARIZAÇÃO É NECESSÁRIA!,2025-12-16T18:24:18Z,2194,356,19,375,170.92069279854147,136.73874823883318
BdsuEE24mSQ,URGENTE: VITÓRIA DA DIREITA NO CHILE E O RECADO AO BRASIL!,2025-12-15T00:46:37Z,40654,6195,428,6623,162.91139863236089,130.3697729058887
o8ogiGhYIB0,NIKOLAS: &quot;NÃO TINHA NINGUÉM NA DIREITA CONTRA A AÇÃO DE EDUARDO E PAULO&quot;,2025-12-16T22:58:17Z,5214,687,109,796,152.66589950134255,122.13793360107404
yNPtJWyo468,ENTENDA A ADESÃO DO SBT REGIME DITATORIAL,2025-12-16T11:57:13Z,12963,1686,242,1928,148.73100362570392,118.99776590056314
14g1Hd1XmBo,"Entrevista com Nikolas, análise de Flávio no Ratinho; Zanatta denuncia controle sobre dinheiro",2025-12-16T17:08:13Z,59273,8428,117,8545,144.16344710070354,115.39003068056284
vKIJwG7pLGc,"&quot;NÃO ME VENHA COM ESSA FALÁCIA DE POLARIZAÇÃO, TARCÍSIO!&quot;",2025-12-15T22:36:05Z,28252,3330,421,3751,132.7693614611355,106.2437411689084
tI_udE-7gps,"Trump trai a direita, SBT trai a direita… quem será o próximo? Direita vence no Chile",2025-12-15T17:56:20Z,73739,9225,253,9478,128.53442547362997,102.90127937890398
wfIv9hfl-ic,Senado restabelece MARCO TEMPORAL das terras indígenas; Gilmar deixou,2025-12-14T15:01:45Z,4062,427,39,466,114.72181191531266,91.78151153225014
